Team,Date,Innings,Runs Scored,Result
Mumbai Indians,2022-05-21,[],160,Won
Mumbai Indians,2023-04-02,[],171,Lost
Mumbai Indians,2023-04-08,[],157,Lost
Mumbai Indians,2023-04-11,[],173,Won
Mumbai Indians,2023-04-16,[],186,Won
Mumbai Indians,2023-04-18,[],192,Won
Mumbai Indians,2023-04-22,[],201,Won
Mumbai Indians,2023-04-25,[],152,Lost
Mumbai Indians,2023-04-30,[],214,Won
Mumbai Indians,2023-05-03,[],216,Won
Mumbai Indians,2023-05-06,[],139,Won
Mumbai Indians,2023-05-09,[],200,Won
Mumbai Indians,2023-05-12,[],218,Won
Mumbai Indians,2023-05-16,[],172,Won
Mumbai Indians,2023-05-21,[],201,Won
Mumbai Indians,2023-05-24,[],182,Won
Mumbai Indians,2023-05-26,[],171,Lost
